;Relação dos municípios com as maiores proporções de população  autodeclarada indígena do País, por situação do domicílio - Unidades da Federação - 2010 ;;;;;;;;;;
;Código;Município;Total;;Código;Município;Urbana;;Código;Município;Rural
Rondônia;;;;;;;;;;;
5;3205002;Serra;0,3;;3201803;Divino de São Lourenço;0,3;;3204658;São Domingos do Norte;0,2
6;3201159;Brejetuba;0,3;;3204054;Pedro Canário;0,3;;3203056;Jaguaré;0,2
7;3205200;Vila Velha;0,2;;3205309;Vitória;0,3;;3201159;Brejetuba;0,2
8;3201803;Divino de São Lourenço;0,2;;3205002;Serra;0,3;;3205200;Vila Velha;0,2
9;3203056;Jaguaré;0,2;;3201605;Conceição da Barra;0,3;;3201803;Divino de São Lourenço;0,2
10;3202405;Guarapari;0,2;;3200102;Afonso Cláudio;0,3;;3205069;Venda Nova do Imigrante;0,2
;;;;;;;;;;;
Rio de Janeiro;;;;;;;;;;;
1;3303807;Paraty;0,7;;3304607;Santa Maria Madalena;0,3;;3300100;Angra dos Reis;5,0
2;3300100;Angra dos Reis;0,3;;3300258;Arraial do Cabo;0,3;;3303807;Paraty;1,9
3;3300258;Arraial do Cabo;0,3;;3305158;São José do Vale do Rio Preto;0,2;;3300225;Areal;0,3
4;3304607;Santa Maria Madalena;0,2;;3303807;Paraty;0,2;;3304524;Rio das Ostras;0,3
5;3305208;São Pedro da Aldeia;0,2;;3300704;Cabo Frio;0,2;;3303955;Pinheiral;0,2
6;3303005;Miracema;0,2;;3305208;São Pedro da Aldeia;0,2;;3305554;Seropédica;0,2
7;3300704;Cabo Frio;0,1;;3306206;Vassouras;0,2;;3301702;Duque de Caxias;0,2
8;3304110;Porto Real;0,1;;3303005;Miracema;0,2;;3302601;Mangaratiba;0,2
9;3302007;Itaguaí;0,1;;3302007;Itaguaí;0,1;;3301900;Itaboraí;0,2
10;3303302;Niterói;0,1;;3300936;Carapebus;0,1;;3303005;Miracema;0,1
;;;;;;;;;;;
São Paulo;;;;;;;;;;;
1;3504305;Avaí;11,2;;3503356;Arco-Íris;0,7;;3504305;Avaí;33,3
2;3503356;Arco-Íris;8,5;;3531100;Mongaguá;0,7;;3507704;Braúna;20,8
3;3505005;Barão de Antonina;2,9;;3537602;Peruíbe;0,7;;3503356;Arco-Íris;18,8
4;3507704;Braúna;2,7;;3509908;Cananéia;0,5;;3506359;Bertioga;11,8
5;3551801;Sete Barras;1,1;;3520301;Iguape;0,5;;3531100;Mongaguá;10,4
6;3509908;Cananéia;0,9;;3504305;Avaí;0,5;;3522109;Itanhaém;9,8
7;3529906;Miracatu;0,9;;3550704;São Sebastião;0,4;;3555406;Ubatuba;8,2
8;3537602;Peruíbe;0,7;;3515806;Flora Rica;0,4;;3505005;Barão de Antonina;7,1
9;3531100;Mongaguá;0,7;;3513306;Cruzália;0,4;;3537602;Peruíbe;5,5
